gender,Occupation,Work,Rest,Sleep,Exercise,Lifespan
Female,Consultant,7.13,8.7,5.17,3.0,83
Female,Artist,8.69,4.05,9.6,1.66,70
Male,Consultant,7.06,10.29,5.78,0.87,75
Female,Manager,11.34,5.04,6.0,1.61,83
Male,Manager,9.69,4.54,8.73,1.04,72
Female,Consultant,8.33,6.62,6.65,2.4,90
Female,Freelancer,8.29,5.96,7.82,1.92,77
Female,Manager,13.32,1.0,7.17,2.51,78
Female,Office Worker,9.28,5.71,8.71,0.31,92
Female,Driver,10.64,4.74,8.24,0.38,81
Male,Manual Laborer,8.45,6.63,8.19,0.74,80
Female,Driver,9.73,6.73,7.16,0.38,88
Male,Freelancer,5.76,9.41,7.3,1.52,76
Female,Driver,9.29,6.29,6.16,2.26,94
Female,Teacher,7.4,8.87,6.88,0.85,90
Female,Freelancer,10.53,3.58,8.11,1.78,71
Female,Retail Worker,7.46,7.66,7.75,1.12,88
Female,Entrepreneur,13.44,1.0,7.93,1.64,67
Male,Scientist,8.26,7.22,7.52,1.0,85
Male,Teacher,6.21,6.62,8.17,3.0,83
Male,Office Worker,8.87,6.11,7.39,1.64,81
Male,Driver,11.42,4.56,6.88,1.13,64
Male,Technician,8.72,7.17,7.86,0.25,70
Female,Healthcare Worker,11.49,6.16,6.32,0.04,84
Female,Scientist,10.83,4.41,6.79,1.98,80
Male,Manager,9.23,7.91,6.18,0.68,66
Male,Freelancer,7.96,6.83,6.63,2.58,74
Male,Freelancer,7.66,7.42,6.17,2.75,94
Male,Driver,11.73,3.94,8.26,0.06,82
Male,Artist,8.55,8.28,6.86,0.31,87
Male,Entrepreneur,23.5,0.16,0.34,0.0,25
Male,Freelancer,9.84,6.24,6.33,1.59,78
Male,Manager,10.01,3.45,10.25,0.28,72
Female,Healthcare Worker,8.74,7.05,7.62,0.58,77
Female,Healthcare Worker,9.73,6.11,6.77,1.38,90
Male,Manager,1.73,6.86,15.29,0.12,57
Male,Technician,8.73,7.09,6.82,1.36,91
Male,Consultant,7.38,4.87,9.49,2.26,77
Male,Entrepreneur,14.52,1.22,6.94,1.31,66
Male,Freelancer,6.72,5.93,8.35,3.0,100
Male,Office Worker,7.88,7.33,8.35,0.44,78
Female,Retail Worker,6.33,8.33,7.52,1.82,99
Female,Technician,8.0,7.74,7.88,0.38,100
Male,Manager,9.52,6.1,6.87,1.51,71
Female,Freelancer,9.35,4.15,7.95,2.55,74
Female,Consultant,6.33,7.37,8.24,2.07,85
Female,Engineer,9.94,5.0,6.64,2.41,87
Female,Artist,9.53,6.23,6.47,1.77,83
Male,Freelancer,11.79,4.13,6.95,1.12,86
Female,Freelancer,11.24,5.05,7.42,0.29,76
Male,Engineer,9.16,5.05,6.79,3.0,86
Female,Freelancer,9.63,4.61,6.76,3.0,86
Male,Scientist,10.48,3.86,7.71,1.96,81
Female,Office Worker,0.93,17.93,3.13,2.01,91
Female,Healthcare Worker,23.91,0.0,0.32,0.0,25
Female,Healthcare Worker,10.06,5.61,8.28,0.05,70
Male,Artist,8.34,6.71,6.41,2.54,94
Male,Engineer,7.34,5.5,8.15,3.0,91
Female,Manager,12.15,1.0,8.0,2.84,71
Female,Retail Worker,6.99,11.28,4.79,0.94,96
Male,Office Worker,7.18,7.87,6.49,2.46,75
Male,Manager,12.14,1.0,9.33,1.54,56
Male,Manager,0.42,23.8,0.39,0.0,52
Female,Healthcare Worker,11.37,1.37,9.38,1.88,87
Male,Consultant,6.69,7.69,7.61,2.0,80
Male,Teacher,6.69,8.86,8.46,0.0,79
Female,Freelancer,6.52,6.67,8.4,2.42,82
Female,Driver,11.48,1.37,8.36,2.8,85
Female,Manager,11.08,1.6,8.32,3.0,77
Female,Manager,11.13,5.32,5.88,1.68,96
Male,Retail Worker,9.34,6.46,6.7,1.5,72
Male,Scientist,10.93,4.67,7.88,0.52,84
Female,Freelancer,5.58,7.25,8.37,2.8,81
Male,Consultant,11.34,2.35,9.32,0.99,90
Female,Driver,10.82,1.88,8.78,2.52,78
Male,Office Worker,19.76,2.74,1.49,0.0,41
Male,Freelancer,7.22,4.91,10.16,1.71,80
Male,Technician,7.7,6.25,7.05,3.0,79
Male,Consultant,6.1,9.49,7.87,0.54,94
Female,Engineer,8.51,6.48,6.76,2.26,87
Female,Manager,13.77,1.36,8.07,0.8,51
Male,Teacher,7.07,7.37,8.43,1.13,84
Male,Consultant,11.02,5.36,7.62,0.0,75
Male,Driver,11.61,1.98,8.01,2.41,70
Female,Entrepreneur,11.36,6.18,6.25,0.2,97
Male,Manual Laborer,0.42,16.45,1.61,5.53,91
Female,Entrepreneur,12.37,3.9,6.24,1.49,85
Male,Healthcare Worker,11.11,3.16,7.28,2.45,86
Female,Office Worker,8.53,3.39,9.07,3.0,89
Male,Consultant,11.9,2.13,7.84,2.13,75
Female,Technician,8.74,8.25,6.45,0.56,80
Female,Retail Worker,6.56,8.12,8.05,1.27,83
Male,Healthcare Worker,8.91,4.57,7.78,2.74,82
Male,Freelancer,6.22,9.53,7.29,0.96,92
Male,Scientist,9.19,6.04,6.13,2.65,92
Female,Scientist,9.9,3.68,8.44,1.99,88
Female,Technician,8.79,2.69,10.25,2.27,76
Male,Scientist,8.43,8.74,5.37,1.46,81
Female,Office Worker,8.79,4.68,9.87,0.67,80
Female,Teacher,6.22,7.11,7.81,2.86,91
Male,Scientist,18.84,4.94,0.22,0.0,46
Female,Freelancer,9.3,8.17,5.82,0.71,82
Female,Manager,12.0,4.52,5.07,2.41,58
Male,Manager,12.14,3.25,7.98,0.63,88
Male,Manager,12.14,1.0,8.04,2.82,88
Male,Teacher,7.0,7.5,7.01,2.5,82
Male,Teacher,7.41,8.82,5.93,1.83,78
Female,Teacher,7.23,12.25,3.66,0.85,86
Male,Office Worker,9.51,4.44,9.86,0.18,76
Female,Retail Worker,8.82,6.37,8.48,0.33,83
Female,Healthcare Worker,8.75,4.68,9.65,0.91,74
Male,Healthcare Worker,11.25,4.15,8.25,0.35,85
Female,Manager,8.43,7.49,6.46,1.62,100
Male,Entrepreneur,14.84,1.0,7.08,1.08,73
Female,Driver,11.99,2.68,7.41,1.93,85
Female,Healthcare Worker,8.99,5.66,6.79,2.56,76
Male,Technician,9.12,1.63,13.24,0.01,29
Male,Scientist,7.09,8.05,7.64,1.22,94
Male,Manual Laborer,11.38,4.37,7.55,0.7,69
Female,Retail Worker,9.79,3.09,8.15,2.98,74
Male,Scientist,7.6,4.0,9.52,2.88,79
Male,Driver,12.0,5.96,3.9,2.14,64
Male,Retail Worker,9.79,1.0,10.24,2.97,82
Female,Engineer,8.1,4.88,8.49,2.53,83
Male,Technician,9.12,5.73,7.41,1.73,84
Male,Scientist,8.04,6.33,9.4,0.23,73
Male,Retail Worker,8.31,4.32,8.37,3.0,82
Female,Manager,11.29,3.38,9.0,0.34,68
Female,Freelancer,11.61,5.68,5.78,0.93,75
Female,Healthcare Worker,11.46,1.9,9.03,1.61,67
Male,Entrepreneur,14.36,1.0,6.24,2.4,72
Female,Entrepreneur,14.77,1.0,7.35,0.88,68
Male,Driver,9.16,5.89,6.63,2.31,95
Female,Entrepreneur,10.61,4.02,8.03,1.34,76
Female,Scientist,9.59,4.62,7.43,2.37,80
Female,Technician,7.8,11.04,4.66,0.5,74
Male,Office Worker,0.62,6.1,16.85,0.43,61
Male,Manual Laborer,10.3,6.36,6.73,0.61,81
Female,Freelancer,10.85,5.37,7.25,0.53,88
Male,Technician,8.3,8.81,6.07,0.81,90
Male,Healthcare Worker,10.39,1.58,9.71,2.32,74
Female,Manual Laborer,10.51,4.99,7.7,0.8,79
Male,Freelancer,5.32,10.44,5.94,2.31,85
Female,Driver,9.66,2.52,8.91,2.9,73
Male,Healthcare Worker,11.12,4.93,6.89,1.07,69
Female,Manual Laborer,8.94,6.79,5.72,2.54,77
Female,Teacher,8.54,7.76,7.06,0.64,91
Male,Manual Laborer,8.98,4.83,8.77,1.43,55
Female,Consultant,6.58,9.21,6.03,2.19,85
Female,Freelancer,8.66,5.97,6.73,2.64,83
Male,Scientist,10.31,5.8,6.75,1.14,87
Female,Office Worker,9.13,4.09,8.4,2.38,81
Male,Artist,8.91,6.72,8.14,0.23,65
Male,Scientist,9.2,6.56,6.09,2.15,84
Female,Entrepreneur,14.44,1.0,7.88,0.68,83
Male,Artist,9.81,6.68,7.23,0.28,75
Male,Retail Worker,6.33,6.69,9.58,1.4,65
Male,Retail Worker,6.48,9.39,6.93,1.2,94
Female,Scientist,4.19,0.62,18.3,0.89,54
Male,Freelancer,5.78,11.04,7.18,0.0,78
Female,Consultant,7.59,7.74,5.67,3.0,89
Female,Teacher,7.95,5.99,9.64,0.42,64
Female,Consultant,8.26,4.9,8.48,2.36,88
Male,Freelancer,6.35,8.67,6.77,2.21,91
Male,Consultant,9.39,5.08,6.76,2.77,84
Female,Office Worker,8.45,3.83,11.11,0.62,82
Male,Manager,8.29,6.26,7.79,1.66,81
Female,Entrepreneur,12.88,1.0,7.29,2.83,84
Male,Engineer,7.35,7.46,7.39,1.8,91
Female,Consultant,6.69,8.79,7.88,0.64,84
Male,Artist,8.36,6.96,7.53,1.16,87
Female,Entrepreneur,14.92,1.0,7.0,1.08,88
Female,Engineer,7.66,8.28,7.81,0.26,87
Female,Technician,9.08,7.58,6.34,0.99,87
Female,Consultant,9.17,2.94,9.06,2.83,77
Female,Scientist,10.99,5.24,7.61,0.17,83
Female,Driver,10.84,6.29,5.99,0.88,96
Male,Consultant,6.43,6.47,8.1,3.0,99
Female,Retail Worker,8.16,5.38,8.22,2.23,84
Female,Retail Worker,6.08,8.96,7.36,1.6,100
Female,Driver,11.72,2.03,7.75,2.51,88
Male,Consultant,7.28,9.98,4.56,2.18,68
Female,Driver,9.22,6.15,7.07,1.56,91
Male,Artist,8.14,8.39,5.78,1.69,91
Male,Manager,13.87,1.0,7.89,1.24,62
Male,Retail Worker,8.26,5.72,10.0,0.02,78
Female,Retail Worker,8.05,8.22,5.79,1.94,100
Female,Driver,10.93,2.47,8.84,1.76,77
Male,Driver,8.65,6.2,8.8,0.35,78
Female,Manual Laborer,10.31,1.62,9.76,2.31,67
Male,Artist,4.24,10.63,7.76,1.37,83
Male,Office Worker,7.77,8.79,6.58,0.86,95
Male,Scientist,10.16,3.05,9.76,1.03,75
Male,Entrepreneur,13.58,1.74,8.23,0.45,77
Male,Entrepreneur,12.88,1.0,8.46,1.66,72
Male,Technician,9.66,8.61,5.35,0.38,78
Female,Office Worker,7.38,9.2,6.43,0.99,69
Female,Manager,11.34,3.43,8.1,1.12,81
Male,Office Worker,9.88,3.12,9.39,1.61,69
Female,Manual Laborer,8.61,6.46,7.29,1.64,100
Female,Entrepreneur,13.61,1.0,6.64,2.75,88
Male,Engineer,9.16,4.16,8.44,2.25,78
Female,Scientist,10.11,3.27,7.96,2.65,98
Female,Teacher,8.42,8.12,7.46,0.0,93
Female,Retail Worker,8.5,7.51,7.98,0.0,83
Female,Manual Laborer,10.76,2.58,8.1,2.56,81
Male,Driver,10.43,1.0,9.76,2.82,79
Female,Scientist,8.1,3.23,10.66,2.01,90
Male,Technician,8.77,7.03,6.97,1.23,85
Male,Healthcare Worker,9.27,8.53,5.65,0.56,87
Female,Scientist,7.9,7.71,6.5,1.88,77
Male,Retail Worker,9.33,4.02,8.61,2.04,78
Male,Healthcare Worker,9.61,7.53,5.85,1.01,79
Male,Freelancer,9.36,7.63,6.65,0.36,74
Female,Office Worker,7.49,6.63,9.02,0.85,89
Male,Scientist,8.98,6.83,5.94,2.25,94
Female,Engineer,4.5,0.44,18.43,0.63,60
Female,Teacher,6.96,4.51,9.68,2.85,78
Female,Engineer,7.55,9.87,6.41,0.18,98
Female,Manager,10.74,2.98,9.4,0.88,67
Female,Artist,8.67,7.11,7.57,0.66,92
Male,Manager,11.98,3.52,6.68,1.82,73
Female,Consultant,8.16,6.53,7.21,2.1,89
Male,Technician,7.81,7.67,7.49,1.03,87
Female,Driver,9.48,6.94,6.47,1.11,77
Male,Artist,5.31,6.87,10.3,1.52,84
Male,Freelancer,10.19,3.51,7.3,3.0,85
Male,Engineer,8.3,7.61,6.71,1.38,97
Female,Technician,8.56,4.13,8.95,2.36,80
Female,Teacher,6.92,7.3,7.35,2.43,99
Male,Teacher,8.46,4.2,8.94,2.4,97
Female,Healthcare Worker,10.26,7.71,5.94,0.08,84
Female,Manual Laborer,9.57,7.82,6.02,0.58,84
Female,Scientist,9.99,7.86,5.63,0.52,85
Female,Driver,8.35,9.53,5.95,0.16,74
Female,Healthcare Worker,11.3,3.57,8.27,0.85,84
Male,Technician,0.17,21.42,0.87,1.54,82
Male,Consultant,6.61,7.43,9.96,0.0,75
Female,Freelancer,5.05,11.37,7.58,0.0,92
Male,Driver,9.1,5.54,6.92,2.44,79
Male,Retail Worker,8.11,8.62,7.09,0.17,83
Female,Consultant,7.44,6.35,7.62,2.59,96
Male,Scientist,10.62,4.44,8.61,0.33,76
Male,Entrepreneur,13.88,1.0,7.69,1.43,57
Female,Engineer,7.2,11.0,5.22,0.58,77
Female,Technician,9.44,5.98,8.58,0.0,71
Female,Artist,9.78,5.2,6.8,2.22,83
Female,Artist,8.62,4.71,7.78,2.89,96
Male,Engineer,7.6,7.66,7.99,0.74,73
Male,Scientist,7.09,13.38,3.0,0.53,81
Female,Healthcare Worker,10.92,4.25,6.72,2.11,89
Male,Driver,8.71,7.35,6.43,1.5,68
Female,Technician,8.99,4.71,9.7,0.6,85
Female,Artist,4.07,11.65,5.52,2.75,99
Female,Manager,11.38,1.0,9.66,1.95,75
Female,Driver,9.17,7.38,5.49,1.95,97
Female,Scientist,7.77,10.02,6.21,0.0,75
Female,Entrepreneur,10.09,4.25,8.38,1.28,78
Female,Artist,7.42,8.45,7.64,0.48,100
Female,Technician,8.08,6.9,6.8,2.22,79
Male,Artist,9.79,1.0,12.21,1.0,63
Female,Office Worker,8.17,8.85,6.64,0.34,83
Male,Teacher,8.92,7.59,7.29,0.19,80
Female,Freelancer,8.2,7.97,5.8,2.03,81
Male,Freelancer,6.23,8.94,8.49,0.35,80
Male,Consultant,9.56,7.52,5.39,1.53,87
Female,Artist,7.01,4.65,9.34,3.0,83
Female,Driver,8.2,7.77,5.64,2.39,83
Male,Engineer,9.98,2.98,8.13,2.91,82
Female,Freelancer,5.69,9.98,7.05,1.28,92
Female,Scientist,7.17,10.32,4.84,1.67,98
Female,Consultant,8.48,5.19,7.91,2.42,86
Female,Artist,6.39,8.03,8.75,0.84,90
Female,Scientist,8.9,5.39,7.66,2.05,78
Female,Office Worker,8.25,6.55,7.83,1.37,99
Male,Manager,12.47,2.84,7.48,1.2,69
Male,Engineer,8.26,6.68,6.18,2.88,88
Male,Retail Worker,6.68,6.86,7.92,2.54,86
Female,Healthcare Worker,9.27,5.44,7.77,1.53,96
Female,Office Worker,8.75,7.44,7.81,0.0,74
Male,Office Worker,9.93,8.13,5.69,0.25,75
Female,Office Worker,9.05,5.64,9.32,0.0,69
Male,Office Worker,8.88,6.33,7.6,1.19,91
Male,Driver,11.3,1.0,8.7,3.0,78
Male,Teacher,7.76,7.45,8.78,0.0,95
Male,Technician,9.71,4.07,10.04,0.18,82
Male,Scientist,9.17,6.39,7.88,0.55,76
Male,Driver,10.67,1.0,9.38,2.95,74
Female,Entrepreneur,11.97,3.32,8.71,0.0,66
Female,Office Worker,7.26,10.55,5.71,0.48,93
Male,Freelancer,8.75,5.75,8.75,0.74,83
Male,Entrepreneur,11.47,3.37,6.65,2.51,68
Female,Scientist,9.71,7.44,6.85,0.0,72
Male,Manager,12.29,1.0,7.71,3.0,83
Male,Retail Worker,18.61,4.63,0.76,0.0,33
Male,Scientist,10.53,5.8,6.57,1.1,84
Female,Entrepreneur,15.86,1.0,7.14,0.0,72
Female,Freelancer,9.67,8.67,3.68,1.98,89
Female,Freelancer,18.57,1.78,3.65,0.0,47
Male,Consultant,11.98,4.31,7.71,0.0,62
Female,Teacher,7.21,9.99,5.87,0.93,83
Male,Freelancer,6.98,4.8,9.55,2.67,86
Female,Consultant,6.58,6.67,8.27,2.49,76
Female,Scientist,10.5,7.31,5.1,1.09,71
Female,Entrepreneur,10.71,3.96,6.42,2.91,100
Male,Teacher,6.99,5.88,8.15,2.98,76
Female,Consultant,10.25,5.37,6.49,1.9,82
Male,Driver,8.83,8.31,5.77,1.09,84
Male,Manual Laborer,10.36,4.83,6.69,2.12,71
Male,Scientist,9.22,7.45,6.96,0.37,73
Female,Retail Worker,7.67,5.79,8.28,2.26,90
Male,Entrepreneur,11.72,1.0,8.28,3.0,73
Female,Technician,8.91,8.66,6.27,0.16,76
Female,Driver,10.0,4.39,6.61,3.0,85
Female,Office Worker,7.89,9.99,6.05,0.07,81
Female,Manager,9.95,6.2,6.42,1.43,96
Female,Entrepreneur,11.89,4.43,5.91,1.78,84
Female,Manual Laborer,8.19,6.75,6.76,2.31,95
Female,Manual Laborer,8.91,5.61,9.27,0.2,84
Female,Entrepreneur,22.52,0.59,0.89,0.0,25
Female,Freelancer,8.68,5.54,7.33,2.45,91
Male,Retail Worker,8.92,5.27,7.93,1.88,100
Female,Office Worker,8.29,5.32,9.22,1.16,89
Male,Freelancer,8.28,7.44,7.13,1.16,80
Male,Office Worker,8.56,6.29,6.47,2.69,90
Male,Teacher,7.55,5.39,8.06,3.0,93
Male,Office Worker,8.73,6.96,6.94,1.37,91
Male,Technician,9.92,3.53,7.83,2.72,84
Male,Technician,7.94,7.07,8.01,0.97,76
Female,Office Worker,9.88,6.91,7.03,0.18,93
Male,Entrepreneur,11.14,1.5,8.36,3.0,90
Female,Driver,11.74,5.17,4.58,2.51,85
Male,Freelancer,11.84,3.66,6.94,1.56,85
Female,Consultant,6.56,6.24,10.49,0.71,73
Female,Artist,5.14,9.76,8.81,0.29,84
Female,Entrepreneur,15.96,1.0,7.04,0.0,67
Female,Consultant,8.31,5.97,8.31,1.4,86
Female,Retail Worker,6.51,6.4,8.09,3.0,100
Male,Scientist,10.92,6.78,6.02,0.28,74
Male,Scientist,8.37,6.46,7.35,1.83,76
Female,Healthcare Worker,9.05,8.77,5.5,0.68,77
Female,Healthcare Worker,10.16,5.45,6.8,1.6,90
Female,Artist,9.77,6.77,7.35,0.11,97
Male,Artist,7.09,11.5,4.27,1.14,98
Male,Entrepreneur,14.78,1.0,6.62,1.6,65
Female,Freelancer,11.37,2.76,7.57,2.3,83
Female,Healthcare Worker,9.94,6.8,5.44,1.81,80
Male,Freelancer,8.56,5.04,9.24,1.16,89
Female,Office Worker,7.84,6.46,7.26,2.44,92
Male,Freelancer,11.27,4.51,7.03,1.19,77
Male,Scientist,9.24,4.54,8.27,1.95,79
Male,Engineer,7.17,6.72,7.31,2.8,92
Female,Manager,13.48,2.8,6.54,1.18,74
Male,Scientist,10.78,2.95,8.09,2.18,75
Female,Teacher,6.53,6.29,8.31,2.87,87
Female,Engineer,8.34,7.94,6.93,0.8,93
Male,Manager,10.54,8.4,5.06,0.0,65
Female,Scientist,10.29,2.84,8.37,2.5,89
Male,Manager,9.41,6.21,6.12,2.26,86
Female,Healthcare Worker,9.06,6.6,6.06,2.29,76
Male,Healthcare Worker,9.7,6.89,4.46,2.95,83
Female,Office Worker,9.95,4.7,9.23,0.12,76
Female,Office Worker,8.03,8.49,5.51,1.98,99
Male,Manager,8.17,4.46,9.33,2.04,79
Male,Freelancer,10.07,5.54,8.11,0.28,82
Male,Technician,7.46,8.29,8.25,0.0,74
Female,Engineer,8.33,4.08,9.59,2.01,94
Male,Manager,10.27,4.33,8.11,1.29,88
Female,Healthcare Worker,8.85,7.58,5.88,1.68,95
Male,Manual Laborer,11.09,6.06,6.09,0.77,73
Male,Teacher,7.96,6.75,8.59,0.69,81
Male,Driver,8.95,7.24,5.63,2.18,98
Male,Healthcare Worker,9.37,6.63,7.33,0.67,73
Male,Driver,10.48,2.12,9.4,2.0,84
Male,Consultant,11.37,3.39,8.5,0.74,67
Male,Engineer,8.49,6.47,8.28,0.76,87
Male,Retail Worker,9.79,6.25,6.17,1.79,89
Male,Driver,11.28,4.25,5.83,2.63,76
Female,Artist,6.65,10.1,7.25,0.0,79
Male,Engineer,8.62,4.13,9.59,1.65,70
Female,Freelancer,5.78,11.31,6.91,0.0,90
Female,Healthcare Worker,9.47,2.79,9.99,1.75,66
Female,Engineer,9.03,6.74,5.52,2.71,73
Female,Artist,6.22,9.54,8.03,0.2,86
Male,Scientist,9.69,6.03,7.75,0.53,73
Female,Freelancer,11.95,2.5,8.23,1.32,75
Female,Freelancer,11.53,4.77,7.7,0.0,72
Female,Office Worker,9.28,6.03,8.7,0.0,60
Female,Consultant,10.25,3.34,7.43,2.98,87
Male,Retail Worker,8.78,7.11,7.48,0.63,84
Male,Office Worker,9.0,5.41,6.89,2.71,93
Male,Healthcare Worker,9.35,5.88,6.93,1.84,71
Male,Technician,9.9,3.41,8.81,1.89,80
Male,Healthcare Worker,8.95,6.61,7.5,0.94,83
Female,Freelancer,10.5,6.47,7.02,0.0,91
Male,Artist,7.12,10.74,4.97,1.18,90
Male,Freelancer,9.15,6.23,7.49,1.13,85
Male,Manual Laborer,11.53,3.12,7.08,2.27,82
Male,Technician,7.0,8.61,7.17,1.21,87
Female,Engineer,7.61,10.63,4.98,0.78,91
Female,Technician,7.74,8.39,7.46,0.41,82
Female,Manager,9.47,8.42,5.34,0.77,80
Male,Scientist,8.17,7.68,7.0,1.15,75
Male,Office Worker,9.31,2.6,9.09,3.0,79
Female,Entrepreneur,10.13,6.52,5.67,1.68,88
Female,Retail Worker,8.59,7.58,7.26,0.57,91
Male,Office Worker,7.6,8.94,5.5,1.96,98
Female,Artist,7.17,6.43,8.86,1.54,85
Female,Manual Laborer,8.69,6.93,7.45,0.93,74
Male,Driver,11.03,3.46,7.4,2.11,77
Male,Driver,10.37,7.24,6.32,0.07,76
Female,Retail Worker,8.69,6.54,5.76,3.0,74
Female,Manager,10.05,6.17,5.99,1.79,83
Male,Manager,10.07,4.43,8.9,0.59,62
Male,Scientist,9.17,7.81,5.51,1.51,77
Male,Retail Worker,9.87,6.34,7.41,0.39,81
Female,Driver,10.0,5.03,7.62,1.35,59
Female,Technician,8.64,6.0,7.31,2.04,77
Female,Driver,9.69,8.39,5.22,0.71,82
Male,Entrepreneur,14.15,1.56,8.04,0.24,66
Female,Manager,13.86,1.28,6.47,2.39,80
Male,Entrepreneur,12.16,1.0,8.73,2.11,73
Female,Engineer,9.92,5.38,6.89,1.81,87
Male,Office Worker,8.2,4.7,8.09,3.0,79
Female,Office Worker,9.9,6.3,7.26,0.54,87
Male,Manual Laborer,11.0,1.0,12.0,0.0,54
Male,Teacher,7.53,9.82,5.22,1.42,94
Male,Freelancer,6.62,5.9,8.49,3.0,85
Male,Scientist,7.63,8.22,7.63,0.52,84
Male,Retail Worker,6.25,5.89,11.13,0.72,78
Female,Engineer,9.53,6.72,7.75,0.0,100
Male,Scientist,9.23,5.14,7.45,2.19,78
Male,Manual Laborer,8.55,3.68,11.63,0.14,77
Male,Teacher,7.96,6.12,7.68,2.24,93
Male,Manual Laborer,10.46,6.59,5.19,1.76,76
Male,Artist,5.1,8.92,8.38,1.59,76
Male,Office Worker,8.4,8.66,5.49,1.45,84
Female,Manager,10.88,1.92,9.27,1.93,72
Female,Healthcare Worker,8.31,5.81,9.23,0.65,83
Female,Consultant,11.06,6.23,5.42,1.28,84
Female,Engineer,7.84,8.05,6.0,2.11,97
Male,Technician,8.52,8.6,6.75,0.13,70
Female,Healthcare Worker,11.17,8.46,4.36,0.0,64
Male,Manual Laborer,8.94,7.04,6.74,1.29,89
Female,Scientist,19.4,2.17,2.43,0.0,61
Female,Teacher,8.86,6.41,7.17,1.56,95
Female,Teacher,6.58,10.66,5.03,1.72,88
Male,Driver,0.77,17.99,3.18,2.06,81
Female,Freelancer,9.27,4.8,9.36,0.57,81
Male,Office Worker,9.69,5.31,8.49,0.51,80
Female,Engineer,9.03,5.51,8.84,0.61,82
Female,Freelancer,11.89,4.78,6.15,1.17,75
Male,Teacher,8.38,7.99,7.19,0.43,94
Female,Engineer,9.69,7.25,6.27,0.79,76
Male,Consultant,8.69,3.31,9.91,2.09,77
Male,Technician,8.82,4.66,9.24,1.28,79
Male,Teacher,7.18,8.9,7.92,0.0,92
Female,Teacher,8.73,8.73,6.54,0.0,98
Male,Office Worker,7.71,9.09,6.91,0.29,83
Male,Retail Worker,7.89,6.82,7.7,1.59,81
Female,Technician,7.81,9.56,4.07,2.57,74
Female,Consultant,7.18,6.12,7.7,3.0,94
Male,Office Worker,9.51,4.85,8.82,0.82,75
Female,Healthcare Worker,10.04,3.47,8.99,1.51,81
Male,Freelancer,9.78,7.27,6.95,0.0,73
Male,Manager,9.95,6.12,7.45,0.48,85
Female,Engineer,7.54,8.77,4.91,2.78,89
Male,Artist,8.59,7.94,7.29,0.17,100
Female,Engineer,9.57,3.44,9.5,1.49,78
Male,Artist,5.02,8.33,7.85,2.81,82
Male,Freelancer,9.37,7.47,6.26,0.9,62
Male,Consultant,9.16,6.71,6.65,1.48,82
Female,Freelancer,8.0,4.29,8.7,3.0,91
Male,Office Worker,7.38,9.88,5.99,0.75,94
Female,Engineer,8.5,5.83,7.71,1.95,79
Female,Manager,8.54,7.42,6.64,1.4,79
Female,Technician,8.98,6.79,6.77,1.47,86
Male,Manager,12.68,4.35,4.81,2.16,54
Female,Artist,7.86,6.22,8.94,0.98,78
Female,Entrepreneur,11.5,5.46,6.91,0.13,80
Female,Scientist,8.43,6.8,8.14,0.63,89
Female,Freelancer,10.71,5.24,6.36,1.68,82
Female,Healthcare Worker,10.45,3.3,7.68,2.57,80
Male,Teacher,7.41,6.88,7.93,1.78,71
Female,Engineer,7.6,4.74,11.1,0.56,77
Female,Office Worker,9.19,6.17,7.36,1.28,92
Male,Healthcare Worker,10.2,4.39,7.79,1.62,77
Male,Office Worker,9.06,7.52,6.43,0.99,81
Male,Office Worker,7.73,9.47,5.93,0.87,93
Female,Teacher,7.98,8.77,4.71,2.54,92
Female,Consultant,9.33,7.9,5.6,1.17,83
Male,Technician,8.97,10.83,4.2,0.0,66
Female,Manual Laborer,9.45,8.36,6.18,0.0,82
Female,Driver,10.59,4.11,7.52,1.78,86
Male,Teacher,7.67,6.0,8.27,2.06,94
Female,Retail Worker,6.44,8.8,8.49,0.27,73
Male,Consultant,10.64,4.38,7.54,1.44,83
Male,Scientist,10.46,3.3,8.24,1.99,63
Male,Driver,9.18,3.51,8.31,3.0,78
Male,Scientist,7.54,10.11,5.47,0.89,76
Male,Engineer,8.66,9.51,5.7,0.13,87
Female,Teacher,7.65,6.54,8.32,1.49,82
Female,Consultant,6.42,9.95,7.25,0.38,95
Male,Driver,9.3,5.83,8.83,0.04,75
Female,Healthcare Worker,9.46,5.99,6.9,1.65,69
Male,Freelancer,7.22,6.18,8.16,2.45,83
Male,Engineer,9.01,9.13,5.13,0.73,68
Male,Entrepreneur,13.87,1.0,8.21,0.92,58
Male,Healthcare Worker,11.54,2.87,9.37,0.22,66
Male,Technician,9.85,3.37,7.95,2.83,78
Female,Teacher,7.32,6.87,8.36,1.45,90
Male,Freelancer,9.36,5.07,9.56,0.0,60
Female,Consultant,6.56,9.67,5.79,1.98,96
Female,Teacher,6.09,5.48,9.65,2.78,74
Male,Technician,7.11,5.48,8.93,2.49,74
Female,Technician,21.0,1.03,1.97,0.0,35
Female,Consultant,6.4,7.97,6.83,2.79,92
Male,Office Worker,9.37,7.09,6.59,0.94,91
Male,Manual Laborer,10.38,3.24,7.37,3.0,77
Male,Office Worker,7.37,3.86,9.99,2.79,82
Female,Engineer,7.44,5.68,7.88,3.0,84
Female,Freelancer,11.22,5.55,5.53,1.69,95
Female,Teacher,6.65,8.35,7.2,1.8,97
Male,Engineer,7.19,7.37,7.61,1.83,76
